,age,gender,Worried?
377,30 - 44,Female,Yes
378,45 - 59,Male,Yes
379,60,Female,No
380,60,Male,No
381,45 - 59,Female,No
382,60,Male,No
383,30 - 44,Male,No
384,18 - 29,Female,Yes
385,30 - 44,Female,No
386,45 - 59,Female,Yes
387,45 - 59,Female,Yes
388,18 - 29,Female,Yes
389,30 - 44,Female,Yes
390,60,Female,No
391,60,Male,No
392,30 - 44,Male,Yes
393,18 - 29,Female,No
394,30 - 44,Female,No
395,,,Yes
396,45 - 59,Male,No
397,60,Female,No
398,45 - 59,Female,No
399,30 - 44,Female,Yes
400,18 - 29,Male,Yes
401,18 - 29,Female,Yes
402,60,Male,No
403,18 - 29,Male,No
404,60,Male,Yes
405,18 - 29,Female,No
406,18 - 29,Female,No
407,30 - 44,Female,No
408,60,Female,Yes
409,45 - 59,Female,Yes
410,30 - 44,Female,No
411,60,Female,Yes
412,45 - 59,Female,Yes
413,60,Male,No
414,18 - 29,Female,No
415,30 - 44,Female,Yes
416,60,Male,Yes
417,18 - 29,Female,Yes
418,30 - 44,Male,Yes
419,45 - 59,Male,No
420,45 - 59,Female,Yes
421,30 - 44,Male,Yes
422,30 - 44,Female,No
423,18 - 29,Female,No
424,30 - 44,Female,No
425,60,Male,No
426,18 - 29,Male,Yes
427,30 - 44,Male,No
428,60,Female,No
429,45 - 59,Female,Yes
430,30 - 44,Male,Yes
431,45 - 59,Female,Yes
432,30 - 44,Male,No
433,30 - 44,Female,No
434,60,Female,Yes
435,45 - 59,Female,Yes
436,60,Male,No
437,18 - 29,Male,No
438,60,Female,No
439,60,Female,Yes
440,30 - 44,Female,Yes
441,45 - 59,Female,Yes
442,30 - 44,Male,No
443,60,Female,Yes
444,45 - 59,Male,No
445,30 - 44,Female,No
446,60,Female,No
447,45 - 59,Female,No
448,45 - 59,Male,No
449,30 - 44,Female,No
450,30 - 44,Female,No
451,45 - 59,Female,Yes
452,30 - 44,Female,No
453,18 - 29,Female,No
454,30 - 44,Female,No
455,30 - 44,Male,No
456,60,Male,No
457,45 - 59,Female,Yes
458,45 - 59,Female,No
459,45 - 59,Male,No
460,60,Female,No
461,30 - 44,Female,No
462,60,Female,No
463,45 - 59,Female,Yes
464,45 - 59,Female,No
465,18 - 29,Female,Yes
466,60,Male,Yes
467,60,Female,No
468,18 - 29,Female,No
469,45 - 59,Female,No
470,60,Female,No
471,60,Female,No
472,45 - 59,Female,No
473,45 - 59,Male,Yes
474,60,Female,No
